player_id,3/20/2025,3/21/2025,3/22/2025,3/23/2025,3/27/2025,3/28/2025,3/29/2025,3/30/2025,4/5/2025,4/7/2025
410,UCLA,Saint Mary's,St. John's,,,,,,,
411,Wisconsin,Arizona,Purdue,Michigan State,Texas Tech,Tennessee,Auburn,Houston,,
412,Gonzaga,,,,,,,,,
413,Louisville,,,,,,,,,
414,Gonzaga,Colorado State,Purdue,Maryland,Alabama,Tennessee,Michigan State,Houston,,
415,Texas Tech,Iowa State,Auburn,Maryland,Arkansas,,,,,
416,Texas A&M,Arizona,Wisconsin,,,,,,,
417,Wisconsin,Saint Mary's,Auburn,Alabama,Texas Tech,Tennessee,Duke,Michigan State,,
418,St. John's,Oregon,Texas Tech,Illinois,,,,,,
419,Wisconsin,Alabama,Auburn,Maryland,BYU,,,,,
420,Purdue,Maryland,Texas Tech,Alabama,,,,,,
421,Gonzaga,Saint Mary's,Purdue,Maryland,Texas Tech,Tennessee,Houston,Auburn,,
422,Kansas,,,,,,,,,
423,Missouri,,,,,,,,,
424,Houston,Kentucky,Purdue,Florida,Alabama,Michigan State,Texas Tech,Tennessee,,
425,Wisconsin,Iowa State,Tennessee,Maryland,Texas Tech,Mississippi,,,,
426,Purdue,Maryland,Wisconsin,,,,,,,
427,Clemson,,,,,,,,,
428,Texas Tech,Florida,Wisconsin,,,,,,,
429,Texas Tech,Maryland,St. John's,,,,,,,
430,Gonzaga,Oregon,Drake,,,,,,,
431,Purdue,Saint Mary's,Texas Tech,Maryland,Alabama,Tennessee,Duke,Auburn,,
432,Texas Tech,Saint Mary's,BYU,Maryland,Florida,Houston,Auburn,Tennessee,,
433,UCLA,Oregon,St. John's,,,,,,,
434,Gonzaga,Liberty,,,,,,,,
435,Purdue,Iowa State,Texas Tech,Maryland,Alabama,Michigan State,Auburn,Tennessee,,
436,Purdue,Kentucky,Houston,Illinois,,,,,,
437,UCLA,Marquette,,,,,,,,
438,BYU,Oregon,Purdue,Maryland,Arkansas,,,,,
439,Purdue,Connecticut,Texas Tech,Maryland,Alabama,Michigan State,Tennessee,Florida,,
440,Drake,Colorado State,Purdue,Illinois,,,,,,
441,Gonzaga,Iowa State,Texas Tech,Arizona,Alabama,Mississippi,,,,
442,Clemson,,,,,,,,,
443,Texas A&M,Maryland,Purdue,Michigan State,Alabama,Tennessee,Florida,Houston,,
444,Wisconsin,Connecticut,Texas A&M,,,,,,,
445,St. John's,Michigan State,Wisconsin,,,,,,,
446,Gonzaga,North Carolina,,,,,,,,
447,Louisville,,,,,,,,,
448,Auburn,Michigan State,Houston,Iowa State,,,,,,
449,UCLA,Arizona,Drake,,,,,,,
450,Gonzaga,Arizona,Texas Tech,Michigan State,Arkansas,,,,,
451,Wisconsin,Iowa State,St. John's,,,,,,,
452,Missouri,,,,,,,,,
453,Michigan,Baylor,St. John's,,,,,,,
454,St. John's,Kentucky,Auburn,Arizona,Texas Tech,Tennessee,Alabama,Michigan State,,
455,Wisconsin,Iowa State,Texas Tech,Maryland,Alabama,Tennessee,Florida,Houston,,
456,Wisconsin,Memphis,,,,,,,,
457,Wisconsin,,,,,,,,,
